Año,D F,Reportado?,Categorías IPCC 2006,CO2-Absorciones en Gg,CO2 -Emisiones en Gg,CH4-Emisiones en Gg,N2O-Emisiones en Gg,HFC-32-Emisiones en Gg,HFC-125-Emisiones en Gg,HFC-134a-Emisiones en Gg,HFC-143a-Emisiones en Gg,HFC-152a-Emisiones en Gg,HFC-227ea-Emisiones en Gg,PFCs-Emisiones en Gg,SF6-Emisiones en Gg,NOX-Precursores en Gg,CO-Precursores en Gg,COVDM-Precursores en Gg,SO2-Precursores en Gg,CO2-Absorciones en Gg de CO2eq,CO2-Emisiones en Gg de CO2eq,CH4-Emisiones en Gg de CO2eq,N2O-Emisiones en Gg de CO2eq,HFC-32-Emisiones en Gg de CO2eq,HFC-125-Emisiones en Gg de CO2eq,HFC-134a-Emisiones en Gg de CO2eq,HFC-143a-Emisiones en Gg de CO2eq,HFC-152a-Emisiones en Gg de CO2eq,HFC-227ea-Emisiones en Gg de CO2eq,PFCs-Emisiones en Gg de CO2eq,SF6-Emisiones en Gg de CO2eq,Absorciones Totales.Gg de CO2eq,Emisiones totales (ΣGEI)-Gg de CO2eq,Con todas las emisiones y absorciones-Gg de CO2eq
2014,D,SI,1A4cii   Vehículos todo terreno y maquinaria,NA,20.03,2.62E-03,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.09,1.10E-01,1.49E-02,9.00E-04,NA,20.03,5.51E-02,3.24E-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.41,20.41
2014,X,SI,1A4cii   Pesca,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE,IE,IE,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE
2014,X,SI,1A5   No especificado,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO
2014,X,SI,1A5a   Estacionario,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO
2014,X,SI,1A5b   Móvil,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO
2014,X,SI,1A5bi   Móvil (componente aviación),NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO
2014,X,SI,1A5bii   Móvil (componente del sector marítimo y fluvial),NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO
2014,X,SI,1A5biii   Móvil (otros),NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO
2014,F,SI,1.B   Emisiones fugitivas provenientes de la fabricación de combustible,NA,188.65,353.95,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,"2,292.46",NE,NA,188.65,"7,432.94",445.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8,067.11","8,067.11"
2014,F,SI,1.B.1   Combustibles sólidos,NA,1.16,116.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,1.16,"2,438.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,439.47","2,439.47"
2014,F,SI,1B1a   Minería carbonífera y manejo del carbón,NA,1.16,116.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,1.16,"2,438.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,439.47","2,439.47"
2014,F,SI,1B1ai   Minas subterráneas,NA,1.16,52.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,1.16,"1,106.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,107.84","1,107.84"
2014,D,SI,1B1ai1   Minería,NA,9.41E-01,40.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,9.41E-01,851.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,852.23,852.23
2014,D,SI,1B1ai2   Emisiones posteriores a la minería,NA,2.20E-01,12.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,2.20E-01,255.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.61,255.61
2014,X,SI,1B1ai3 Minas subterráneas abandonadas,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
2014,X,SI,1B1ai4   Quema en antorcha de metano drenado o conversión de metano en CO2,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
2014,F,SI,1B1aii   Minas de superficie,NA,NE,63.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,"1,331.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,331.63","1,331.63"
2014,D,SI,1B1aii1   Minería,NA,NE,48.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,"1,024.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,024.33","1,024.33"
2014,D,SI,1B1aii2   Emisiones posteriores a la minería,NA,NE,14.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,307.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307.30,307.30
2014,X,SI,1B1b   Combustión espontánea y vertederos para quema de carbón,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
2014,X,SI,1B1c   Transformación de combustibles sólidos,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
2014,F,SI,1.B.2   Petróleo y gas natural,NA,187.49,237.84,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,"2,292.46",NE,NA,187.49,"4,994.63",445.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,627.64","5,627.64"
2014,F,SI,1B2a   Petróleo,NA,141.32,55.86,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,"2,282.35",NE,NA,141.32,"1,173.00",445.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,759.73","1,759.73"
2014,D,SI,1B2ai   Venteo,NA,6.47,49.14,NE,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,29.31,NE,NA,6.47,"1,031.86",NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,038.33","1,038.33"
2014,D,SI,1B2aii   Quema en antorcha,NA,10.78,1.59E-01,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,1.45,NE,NA,10.78,3.33,445.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,459.52,459.52
2014,F,SI,1B2aiii   Todos los demás,NA,124.07,6.56,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,"2,251.59",NE,NA,124.07,137.81,7.50E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,261.88,261.88
2014,X,SI,1B2aiii1   Exploración,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
2014,D,SI,1B2aiii2   Producción y refinación,NA,123.56,5.86,NE,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,"2,155.15",NE,NA,123.56,123.10,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.66,246.66
